ext_id,name,kcal,protein,carb,fat,fiber
630010199,"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)",135.62,2.5,27.78,1.2,1.55
630020199,ARROZ INTEGRAL,130.95,2.56,25.56,1.97,2.72
630070101,MILHO (EM GRAO) - CRU(A),160.14,3.32,25.11,7.18,4.25
630070102,MILHO (EM GRAO) - COZIDO(A),160.14,3.32,25.11,7.18,4.25
630070103,MILHO (EM GRAO) - GRELHADO(A)/BRASA/CHURRASCO,160.14,3.32,25.11,7.18,4.25
630070104,MILHO (EM GRAO) - ASSADO(A),160.14,3.32,25.11,7.18,4.25
630070107,MILHO (EM GRAO) - REFOGADO(A),160.14,3.32,25.11,7.18,4.25
630070113,MILHO (EM GRAO) - ENSOPADO,160.14,3.32,25.11,7.18,4.25
630070199,MILHO (EM GRAO),160.14,3.32,25.11,7.18,4.25
630070601,CANJIQUINHA DE MILHO EM GRAO - CRU(A),79.68,1.24,13.5,2.2,0.67
630070602,CANJIQUINHA DE MILHO EM GRAO - COZIDO(A),62.95,1.24,13.5,0.3,0.67
630070613,CANJIQUINHA DE MILHO EM GRAO - ENSOPADO,79.68,1.24,13.5,2.2,0.67
630070614,CANJIQUINHA DE MILHO EM GRAO - MINGAU,62.95,1.24,13.5,0.3,0.67
630070615,CANJIQUINHA DE MILHO EM GRAO - SOPA,31.44,0.95,7.01,0.12,0.71
630070699,CANJIQUINHA DE MILHO EM GRAO,62.95,1.24,13.5,0.3,0.67
630070799,XEREM DE MILHO,62.95,1.24,13.5,0.3,0.67
630100199,AMENDOIM (EM GRAO) (IN NATURA),567.0,25.8,16.13,49.24,8.5
630110199,ERVILHA EM GRAO,109.09,5.36,15.63,3.06,5.5
630120199,FAVA (EM GRAO),85.62,4.8,10.1,3.17,3.6
630120499,MANGALO AMARGO EM GRAO,85.62,4.8,10.1,3.17,3.6
630160399,FEIJAO DE CORDA,121.33,3.17,20.32,3.13,5.0
630163499,FEIJAO VERDE,121.33,3.17,20.32,3.13,5.0
630200199,SEMENTE DE LINHACA,534.0,18.29,28.88,42.16,27.3
630260299,ANDU,97.41,5.84,15.05,1.79,3.78
630280199,GRAO DE BICO,188.48,8.86,27.42,5.36,7.6
630290199,LENTILHA,136.28,9.02,20.13,2.67,5.86
630300199,SOJA EM GRAO,196.34,16.64,9.93,11.61,6.0
630310299,"FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)",97.41,5.84,15.05,1.79,3.78
630350199,QUIRERA NAO ESPECIFICADA,62.95,1.24,13.5,0.3,0.67
630403499,FEIJAO VERDE ORGANICO,121.33,3.17,20.32,3.13,5.0
630410199,FEIJAO ORGANICO,97.41,5.84,15.05,1.79,3.78
630420199,PIPOCA  LIGHT,445.94,10.77,64.85,17.78,12.07
630430199,ARROZ  ORGANICO,135.62,2.5,27.78,1.2,1.55
630440199,ARROZ INTEGRAL ORGANICO,130.95,2.56,25.56,1.97,2.72
630460299,FEIJAO SOJA ORGANICO,196.34,16.64,9.93,11.61,6.0
630490199,QUINOA,135.47,4.37,19.83,4.33,2.16
640010101,BATATA-INGLESA - CRU(A),86.0,1.71,20.01,0.1,2.05
640010102,BATATA-INGLESA - COZIDO(A),86.0,1.71,20.01,0.1,2.05
640010103,BATATA-INGLESA - GRELHADO(A)/BRASA/CHURRASCO,86.0,1.71,20.01,0.1,2.05
640010104,BATATA-INGLESA - ASSADO(A),86.0,1.71,20.01,0.1,2.05
640010105,BATATA-INGLESA - FRITO(A),263.5,2.87,33.6,13.64,3.44
640010107,BATATA-INGLESA - REFOGADO(A),111.74,1.71,20.01,3.01,2.05
640010108,BATATA-INGLESA - MOLHO VERMELHO,73.6,1.63,17.08,0.12,1.94
640010109,BATATA-INGLESA - MOLHO BRANCO,101.39,2.15,17.86,2.57,1.68
