ext_id,name,kcal,protein,carb,fat,fiber
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",307.0,5.88,41.18,13.24,1.2
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",330.0,4.34,53.42,11.27,1.4
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",377.0,6.1,79.8,3.7,0
167515,"George Weston Bakeries, Thomas English Muffins",232.0,8.0,46.0,1.8,0
167516,"Waffles, buttermilk, frozen, ready-to-heat",273.0,6.58,41.05,9.22,2.2
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",309.0,7.42,48.39,9.49,2.6
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",289.0,6.92,44.16,9.4,2.4
167519,"Waffle, plain, frozen, ready-to-heat, microwave",298.0,6.71,45.41,9.91,2.4
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",501.0,5.1,64.3,24.83,1.9
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",484.0,6.08,64.48,22.42,2.7
167522,"Pie, Dutch Apple, Commercially Prepared",290.0,2.17,44.54,11.5,1.6
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",468.0,5.52,46.79,28.74,1.4
167524,"Waffles, chocolate chip, frozen, ready-to-heat",297.0,5.8,45.68,10.1,1.5
167525,"Tostada shells, corn",474.0,6.15,64.43,23.38,5.8
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",374.0,7.12,47.84,17.12,0.7
167527,"Bread, pound cake type, pan de torta salvadoran",390.0,7.06,51.29,17.45,1.7
167528,"Pastry, Pastelitos de Guava (guava pastries)",379.0,5.48,47.76,18.5,2.2
167529,"Crackers, snack, Goya Crackers",433.0,14.25,64.35,13.35,3.8
167530,"Crackers, cream, Gamesa Sabrosas",484.0,7.01,64.55,20.37,2.4
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",464.0,7.19,64.88,19.5,2.4
167532,"Bread, white wheat",238.0,10.66,43.91,2.15,9.2
167533,"Bagels, wheat",250.0,10.2,48.89,1.53,4.1
167534,"Cream puff, eclair, custard or cream filled, iced",334.0,4.41,37.43,18.52,0.9
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",297.0,8.01,49.27,7.58,2.4
167536,"Snacks, beef jerky, chopped and formed",410.0,33.2,11.0,25.6,1.8
167537,"Snacks, corn-based, extruded, chips, plain",539.0,6.17,57.27,33.36,4.0
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",523.0,7.0,56.2,32.7,5.2
167539,"Snacks, corn-based, extruded, cones, plain",510.0,5.8,62.9,26.9,1.1
167540,"Snacks, fruit leather, pieces",359.0,1.0,82.82,2.68,0.0
167541,"Snacks, fruit leather, rolls",371.0,0.1,85.8,3.0,0.0
167542,"Snacks, granola bars, hard, plain",471.0,10.1,64.4,19.8,5.3
167543,"Snacks, granola bars, hard, almond",495.0,7.7,62.0,25.5,4.8
167544,"Snacks, granola bars, soft, uncoated, raisin",448.0,7.6,66.4,17.8,4.2
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",466.0,5.8,63.8,24.9,3.4
167546,"Candies, honey-combed, with peanut butter",473.0,8.72,67.41,20.18,1.9
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",508.0,10.2,53.4,31.1,2.8
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",432.0,9.8,62.2,20.0,4.2
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",583.0,7.29,45.06,43.55,8.1
167550,"Snacks, popcorn, cakes",384.0,9.7,80.1,3.1,2.9
167551,"Snacks, popcorn, caramel-coated, with peanuts",400.0,6.4,80.7,7.8,3.8
167552,"Snacks, popcorn, caramel-coated, without peanuts",431.0,3.8,79.1,12.8,5.2
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",502.0,4.56,64.76,26.14,3.2
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",547.0,6.6,51.3,37.0,1.2
167555,"Snacks, pretzels, hard, plain, salted",384.0,10.04,80.39,2.93,3.4
167556,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",457.0,7.5,70.9,16.7,2.4
167557,"Snacks, rice cakes, brown rice, sesame seed",392.0,7.6,81.5,3.8,5.4
167558,"Snacks, tortilla chips, plain, white corn, salted",472.0,7.1,67.78,20.68,5.4
167559,"Snacks, tortilla chips, nacho cheese",519.0,7.36,60.81,27.42,5.1
167560,"Snacks, tortilla chips, ranch-flavor",501.0,7.19,62.74,24.63,4.0
167561,"Snacks, trail mix, regular",462.0,13.8,44.9,29.4,0
167562,"Candies, ALMOND JOY Candy Bar",479.0,4.13,59.51,26.93,5.0
167563,"Candies, TWIZZLERS CHERRY BITES",338.0,2.97,79.38,1.7,0.1
167564,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",388.0,2.0,80.89,7.5,0.2
167565,"Candies, NESTLE, BUTTERFINGER Bar",459.0,5.4,72.9,18.9,2.0
167566,"Candies, caramels, chocolate-flavor roll",387.0,1.59,87.73,3.31,0.1
167567,"Baking chocolate, unsweetened, liquid",472.0,12.1,36.2,47.7,18.1
167568,"Baking chocolate, unsweetened, squares",642.0,14.32,28.42,52.31,16.6
167569,"Candies, confectioner's coating, yogurt",522.0,5.87,63.94,27.0,0.0
167570,"Candies, confectioner's coating, peanut butter",529.0,18.3,46.88,29.8,5.0
167571,"Candies, white chocolate",539.0,5.87,59.24,32.09,0.2
167572,"Ice creams, vanilla, light",180.0,4.78,29.46,4.83,0.3
167573,"Ice creams, vanilla, rich",249.0,3.5,22.29,16.2,0.0
167574,"Desserts, flan, caramel custard, prepared-from-recipe",145.0,4.53,22.78,4.03,0.0
167575,"Ice creams, vanilla",207.0,3.5,23.6,11.0,0.7
167576,"Ice creams, vanilla, light, soft-serve",126.0,4.9,21.8,2.6,0.0
167577,"Sherbet, orange",144.0,1.1,30.4,2.0,1.3
167578,"Candies, fudge, peanut butter, prepared-from-recipe",387.0,3.78,77.75,6.59,0.7
167579,"Candies, fudge, vanilla, prepared-from-recipe",383.0,1.05,82.15,5.45,0.0
167580,"Candies, fudge, vanilla with nuts",435.0,3.0,74.61,13.69,0.9
